Date,State,Commodity,tempmax,tempmin,precip,humidity,windspeed,snowdepth,Price (₹/qtl)
2024-01-01,Andaman and Nicobar,Rice,76.7,75.8,0.0,67.1,11.0,0,4500.0
2024-01-01,Andaman and Nicobar,Wheat,76.7,75.8,0.0,67.1,11.0,0,
2024-01-01,Andaman and Nicobar,Atta (Wheat),76.7,75.8,0.0,67.1,11.0,0,6300.0
2024-01-01,Andaman and Nicobar,Gram Dal,76.7,75.8,0.0,67.1,11.0,0,8750.0
2024-01-01,Andaman and Nicobar,Tur/Arhar Dal,76.7,75.8,0.0,67.1,11.0,0,16100.0
2024-01-01,Andaman and Nicobar,Urad Dal,76.7,75.8,0.0,67.1,11.0,0,13900.0
2024-01-01,Andaman and Nicobar,Moong Dal,76.7,75.8,0.0,67.1,11.0,0,12906.67
2024-01-01,Andaman and Nicobar,Masoor Dal,76.7,75.8,0.0,67.1,11.0,0,9260.0
2024-01-01,Andaman and Nicobar,Sugar,76.7,75.8,0.0,67.1,11.0,0,4933.33
2024-01-01,Andaman and Nicobar,Milk @,76.7,75.8,0.0,67.1,11.0,0,7100.0
2024-01-01,Andaman and Nicobar,Groundnut Oil (Packed),76.7,75.8,0.0,67.1,11.0,0,20840.0
2024-01-01,Andaman and Nicobar,Mustard Oil (Packed),76.7,75.8,0.0,67.1,11.0,0,16386.67
2024-01-01,Andaman and Nicobar,Vanaspati (Packed),76.7,75.8,0.0,67.1,11.0,0,17184.0
2024-01-01,Andaman and Nicobar,Soya Oil (Packed),76.7,75.8,0.0,67.1,11.0,0,
2024-01-01,Andaman and Nicobar,Sunflower Oil (Packed),76.7,75.8,0.0,67.1,11.0,0,12933.67
2024-01-01,Andaman and Nicobar,Palm Oil (Packed),76.7,75.8,0.0,67.1,11.0,0,10829.67
2024-01-01,Andaman and Nicobar,Gur,76.7,75.8,0.0,67.1,11.0,0,7183.33
2024-01-01,Andaman and Nicobar,Tea Loose,76.7,75.8,0.0,67.1,11.0,0,29000.0
2024-01-01,Andaman and Nicobar,Salt Pack (Iodised),76.7,75.8,0.0,67.1,11.0,0,1766.67
2024-01-01,Andaman and Nicobar,Potato,76.7,75.8,0.0,67.1,11.0,0,3500.0
2024-01-01,Andaman and Nicobar,Onion,76.7,75.8,0.0,67.1,11.0,0,6100.0
2024-01-01,Andaman and Nicobar,Tomato,76.7,75.8,0.0,67.1,11.0,0,6600.0
2024-01-01,Andhra Pradesh,Rice,84.2,65.2,0.0,77.2,6.9,0,5300.0
2024-01-01,Andhra Pradesh,Wheat,84.2,65.2,0.0,77.2,6.9,0,3500.0
2024-01-01,Andhra Pradesh,Atta (Wheat),84.2,65.2,0.0,77.2,6.9,0,3600.0
2024-01-01,Andhra Pradesh,Gram Dal,84.2,65.2,0.0,77.2,6.9,0,7700.0
2024-01-01,Andhra Pradesh,Tur/Arhar Dal,84.2,65.2,0.0,77.2,6.9,0,15800.0
2024-01-01,Andhra Pradesh,Urad Dal,84.2,65.2,0.0,77.2,6.9,0,12600.0
2024-01-01,Andhra Pradesh,Moong Dal,84.2,65.2,0.0,77.2,6.9,0,10733.33
2024-01-01,Andhra Pradesh,Masoor Dal,84.2,65.2,0.0,77.2,6.9,0,8100.0
2024-01-01,Andhra Pradesh,Sugar,84.2,65.2,0.0,77.2,6.9,0,4086.67
2024-01-01,Andhra Pradesh,Milk @,84.2,65.2,0.0,77.2,6.9,0,5666.67
2024-01-01,Andhra Pradesh,Groundnut Oil (Packed),84.2,65.2,0.0,77.2,6.9,0,16166.67
2024-01-01,Andhra Pradesh,Mustard Oil (Packed),84.2,65.2,0.0,77.2,6.9,0,14833.33
2024-01-01,Andhra Pradesh,Vanaspati (Packed),84.2,65.2,0.0,77.2,6.9,0,8933.33
2024-01-01,Andhra Pradesh,Soya Oil (Packed),84.2,65.2,0.0,77.2,6.9,0,
2024-01-01,Andhra Pradesh,Sunflower Oil (Packed),84.2,65.2,0.0,77.2,6.9,0,10633.33
2024-01-01,Andhra Pradesh,Palm Oil (Packed),84.2,65.2,0.0,77.2,6.9,0,8366.67
2024-01-01,Andhra Pradesh,Gur,84.2,65.2,0.0,77.2,6.9,0,4866.67
2024-01-01,Andhra Pradesh,Tea Loose,84.2,65.2,0.0,77.2,6.9,0,27333.33
2024-01-01,Andhra Pradesh,Salt Pack (Iodised),84.2,65.2,0.0,77.2,6.9,0,1133.33
2024-01-01,Andhra Pradesh,Potato,84.2,65.2,0.0,77.2,6.9,0,1966.67
2024-01-01,Andhra Pradesh,Onion,84.2,65.2,0.0,77.2,6.9,0,2100.0
2024-01-01,Andhra Pradesh,Tomato,84.2,65.2,0.0,77.2,6.9,0,1833.33
2024-01-01,Assam,Rice,78.3,56.7,0.0,79.3,4.7,0,3759.07
2024-01-01,Assam,Wheat,78.3,56.7,0.0,79.3,4.7,0,2723.33
2024-01-01,Assam,Atta (Wheat),78.3,56.7,0.0,79.3,4.7,0,3188.41
2024-01-01,Assam,Gram Dal,78.3,56.7,0.0,79.3,4.7,0,7388.0
2024-01-01,Assam,Tur/Arhar Dal,78.3,56.7,0.0,79.3,4.7,0,13234.0
2024-01-01,Assam,Urad Dal,78.3,56.7,0.0,79.3,4.7,0,10070.45
2024-01-01,Assam,Moong Dal,78.3,56.7,0.0,79.3,4.7,0,10537.04
2024-01-01,Assam,Masoor Dal,78.3,56.7,0.0,79.3,4.7,0,8320.0
2024-01-01,Assam,Sugar,78.3,56.7,0.0,79.3,4.7,0,4390.0
2024-01-01,Assam,Milk @,78.3,56.7,0.0,79.3,4.7,0,6695.46
2024-01-01,Assam,Groundnut Oil (Packed),78.3,56.7,0.0,79.3,4.7,0,20800.0
2024-01-01,Assam,Mustard Oil (Packed),78.3,56.7,0.0,79.3,4.7,0,13610.28
2024-01-01,Assam,Vanaspati (Packed),78.3,56.7,0.0,79.3,4.7,0,12175.0
2024-01-01,Assam,Soya Oil (Packed),78.3,56.7,0.0,79.3,4.7,0,12564.43
2024-01-01,Assam,Sunflower Oil (Packed),78.3,56.7,0.0,79.3,4.7,0,13688.89
2024-01-01,Assam,Palm Oil (Packed),78.3,56.7,0.0,79.3,4.7,0,10300.0
2024-01-01,Assam,Gur,78.3,56.7,0.0,79.3,4.7,0,4685.19
